싻,怜
싼,怪
쌀,怡
쌈,学
쌉,宝
쌌,宗
쌍,定
쌓,宠
쌔,宜
쌕,审
쌘,宙
쌜,官
쌤,空
쌥,帘
쌨,宛
쌩,实
썅,试
써,郎
썩,诗
썬,肩
썰,房
썲,诚
썸,衬
썹,衫
썼,视
썽,祈
쎄,话
쎈,诞
쎌,诡
쏀,询
쏘,该
쏙,详
쏜,建
쏟,肃
쏠,录
쏢,隶
쏨,帚
쏩,屉
쏭,居
쏴,届
쏵,刷
쏸,屈
쐈,弧
쐐,弥
쐤,弦
쐬,承
쐰,孟
쐴,陋
쐼,陌
쐽,孤
쑈,陕
쑤,降
쑥,函
쑨,限
쑬,妹
쑴,姑
쑵,姐
쑹,姓
쒀,妮
쒔,始
쒜,姆
쒸,迢
쒼,驾
쓩,叁
쓰,参
쓱,艰
쓴,线
쓸,练
쓺,组
쓿,绅
씀,细
씁,驶
씌,织
씐,驹
씔,终
씜,驻
씨,绊
씩,驼
씬,绍
씰,绎
씸,经
씹,贯
씻,契
씽,贰
아,奏
악,春
안,帮
앉,玷
않,珍
알,玲
앍,珊
앎,玻
앓,毒
암,型
압,拭
앗,挂
았,封
앙,持
앝,拷
앞,拱
애,项
액,垮
앤,挎
앨,城
앰,挟
앱,挠
앳,政
앴,赴
앵,赵
야,挡
약,拽
얀,哉
얄,挺
얇,括
얌,垢
얍,拴
얏,拾
양,挑
얕,垛
얗,指
얘,垫
얜,挣
얠,挤
얩,拼
어,挖
억,按
언,挥
얹,挪
얻,拯
얼,某
얽,甚
얾,荆
엄,茸
업,革
없,茬
엇,荐
었,巷
엉,带
엊,草
엌,茧
엎,茵
에,茶
엑,荒
엔,茫
엘,荡
엠,荣
엡,荤
엣,荧
엥,故
여,胡
역,荫
엮,荔
연,南
열,药
엶,标
엷,栈
염,柑
엽,枯
엾,柄
엿,栋
였,相
영,查
옅,柏
옆,栅
옇,柳
예,柱
옌,柿
옐,栏
옘,柠
옙,树
옛,勃
옜,要
오,柬
옥,咸
온,威
올,歪
옭,研
옮,砖
옰,厘
옳,厚
옴,砌
옵,砂
옷,泵
옹,砚
옻,砍
와,面
왁,耐
완,耍
왈,牵
왐,鸥
왑,残
왓,殃
왔,轴
왕,轻
왜,鸦
왝,皆
왠,韭
왬,背
왯,战
왱,点
외,虐
왹,临
왼,览
욀,竖
욈,省
욉,削
욋,尝
욍,昧
요,盹
욕,是
욘,盼
욜,眨
욤,哇
욥,哄
욧,哑
용,显
우,冒
욱,映
운,星
울,昨
욹,咧
욺,昭
움,畏
웁,趴
웃,胃
웅,贵
워,界
웍,虹
원,虾
월,蚁
웜,思
웝,蚂
웠,虽
웡,品
웨,咽
웩,骂
웬,勋
웰,哗
웸,咱
웹,响
웽,哈
위,哆
윅,咬
윈,咳
윌,咪
윔,哪
윕,哟
윗,炭
윙,峡
유,罚
육,贱
윤,贴
율,贻
윰,骨
윱,幽
윳,钙
융,钝
윷,钞
으,钟
윽,钢
은,钠
을,钥
읊,钦
음,钧
읍,钩
읏,钮
응,卸
읒,缸
읓,拜
읔,看
읕,矩
읖,毡
읗,氢
의,怎
읜,牲
읠,选
읨,适
읫,秒
이,香
익,种
인,秋
일,科
읽,重
읾,复
잃,竿
임,段
입,便
잇,俩
있,贷
잉,顺
잊,修
잎,俏
자,保
작,促
잔,俄
